"","Abundance_per_hectare","Year","Age","Year_Age","X","Y"
"1",0.090899091875,2017,"Age_10","2017.Age_10",556.60331110704,7132.24608514857
"2",0.200025954152574,2017,"Age_4","2017.Age_4",556.60331110704,7132.24608514857
"3",0.533631762572258,2017,"Age_5","2017.Age_5",556.60331110704,7132.24608514857
"4",0.551979026206535,2017,"Age_6","2017.Age_6",556.60331110704,7132.24608514857
"5",0.214831067667015,2017,"Age_7","2017.Age_7",556.60331110704,7132.24608514857
"6",0.0196538577027027,2017,"Age_8","2017.Age_8",556.60331110704,7132.24608514857
"7",0.206961077323915,2017,"Age_9","2017.Age_9",556.60331110704,7132.24608514857
"8",0.346282254761905,2017,"Age_2","2017.Age_2",556.60331110704,7132.24608514857
"9",0.0406881649345238,2017,"Age_3","2017.Age_3",556.60331110704,7132.24608514857
"10",0.25451745725,2017,"Age_4","2017.Age_4",556.60331110704,7132.24608514857
"11",0.108370605637987,2017,"Age_5","2017.Age_5",556.60331110704,7132.24608514857
"12",0.195098570353355,2017,"Age_6","2017.Age_6",556.60331110704,7132.24608514857
"13",0.145832049562229,2017,"Age_7","2017.Age_7",556.60331110704,7132.24608514857
"14",0.0249250054913793,2017,"Age_1","2017.Age_1",521.559040264548,7096.42955273151
"15",0.912548630281934,2017,"Age_2","2017.Age_2",521.559040264548,7096.42955273151
"16",0.371189347102309,2017,"Age_3","2017.Age_3",521.559040264548,7096.42955273151
"17",0.937006054524235,2017,"Age_4","2017.Age_4",521.559040264548,7096.42955273151
"18",0.498437617990944,2017,"Age_5","2017.Age_5",521.559040264548,7096.42955273151
"19",0.131250436208986,2017,"Age_6","2017.Age_6",521.559040264548,7096.42955273151
"20",0.0159435454002121,2017,"Age_7","2017.Age_7",521.559040264548,7096.42955273151
"21",0.534589440695312,2017,"Age_1","2017.Age_1",521.559040264548,7096.42955273151
"22",1.71993665125112,2017,"Age_2","2017.Age_2",521.559040264548,7096.42955273151
"23",0.521351408900035,2017,"Age_3","2017.Age_3",521.559040264548,7096.42955273151
"24",2.03129980547986,2017,"Age_4","2017.Age_4",521.559040264548,7096.42955273151
"25",1.33915404333813,2017,"Age_5","2017.Age_5",521.559040264548,7096.42955273151
"26",0.475063418834729,2017,"Age_6","2017.Age_6",521.559040264548,7096.42955273151
"27",0.121961613003938,2017,"Age_7","2017.Age_7",521.559040264548,7096.42955273151
"28",0.003011771496875,2017,"Age_8","2017.Age_8",521.559040264548,7096.42955273151
"29",3.96428704586837,2017,"Age_1","2017.Age_1",514.990038626194,7128.04403196392
"30",16.2133094188243,2017,"Age_2","2017.Age_2",514.990038626194,7128.04403196392
"31",1.87514711005978,2017,"Age_3","2017.Age_3",514.990038626194,7128.04403196392
"32",5.24975110908195,2017,"Age_4","2017.Age_4",514.990038626194,7128.04403196392
"33",2.72008844097309,2017,"Age_5","2017.Age_5",514.990038626194,7128.04403196392
"34",0.906833536205286,2017,"Age_6","2017.Age_6",514.990038626194,7128.04403196392
"35",0.118890636934974,2017,"Age_7","2017.Age_7",514.990038626194,7128.04403196392
"36",0.00379424505657433,2017,"Age_9","2017.Age_9",514.990038626194,7128.04403196392
"37",2.07379206373391,2017,"Age_1","2017.Age_1",514.990038626194,7128.04403196392
"38",14.9672568254946,2017,"Age_2","2017.Age_2",514.990038626194,7128.04403196392
"39",2.76495445443424,2017,"Age_3","2017.Age_3",514.990038626194,7128.04403196392
"40",4.31211655859168,2017,"Age_4","2017.Age_4",514.990038626194,7128.04403196392
"41",2.07847256164687,2017,"Age_5","2017.Age_5",514.990038626194,7128.04403196392
"42",0.873202045002171,2017,"Age_6","2017.Age_6",514.990038626194,7128.04403196392
"43",0.219743923748934,2017,"Age_7","2017.Age_7",514.990038626194,7128.04403196392
"44",0.00626050434334764,2017,"Age_8","2017.Age_8",514.990038626194,7128.04403196392
"45",0.0187502677281947,2017,"Age_1","2017.Age_1",486.710929397665,7131.24008051707
"46",0.525007496389452,2017,"Age_2","2017.Age_2",486.710929397665,7131.24008051707
