"","YEAR","Seas","FltSvy","Gender","Part","Ageerr","Lgin_lo","Lgin_hi","Nsamp","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10"
"1",1984,7,2,3,0,0,1.5,119.5,264,0.00474312188875226,0.0465758272333506,0.235702253922852,0.0253978141229648,0.0347043322211041,0.0283981720026524,0.0184122060960755,0.0378374629825187,0.0244511129374187,0.0112885734203488,5.90429128047475e-06,0.00498693964980238,0.0796853649484802,0.204494511934066,0.061265883734138,0.0523192467485506,0.0397460286471266,0.0407977300929369,0.0274978210823455,0.011985626225648,0.00407667983423606,0.00562738598335107
"2",2000,7,2,3,0,0,1.5,119.5,355,0,0.115928310907932,0.0636903655543904,0.0678958395164028,0.119591116692202,0.0827614786166316,0.0308607037218343,0.00539144002636217,0.00803976272795827,0.00230232774338512,0.00262914253951087,0,0.115467678702041,0.05120001151768,0.096966921830388,0.12676400359008,0.0724341977219434,0.0280427177270149,0.00542952536612996,0.00363619791849057,0.000128473962849766,0.000839783616773437
"3",2001,7,2,3,0,0,1.5,119.5,366,0,0.138903328107734,0.123391162585942,0.0909699070132434,0.0412099440244365,0.0461448974673984,0.034643308053836,0.0147083741838073,0.0014107608529692,0.000588480811777921,0.00134626465624828,0,0.151462194607914,0.118669909845769,0.0999961879505374,0.0484661884889454,0.0416785523660745,0.0335963487065333,0.00844737439282306,0.00397897235227616,0.00021170984996645,0.000176133681768787
"4",2002,7,2,3,0,0,1.5,119.5,364,0.00023373089804762,0.0334224650299866,0.0939218167791827,0.153666904693602,0.129276778512615,0.0370097833234163,0.0369714051844905,0.0166208712469017,0.00336739410857993,0.00126563107116285,0.000621997276453872,0.00023373089804762,0.0444460015015389,0.0960689411704121,0.154084243181577,0.115010000334851,0.0361802412815222,0.0227996685244043,0.0197471080982923,0.00443989922050279,0.000611387664413097,0
"5",2003,7,2,3,0,0,1.5,119.5,363,0,0.0824137877895169,0.0796524492527307,0.12637102323872,0.0999139855531025,0.0530933106373931,0.0213767543872351,0.0140620907822952,0.00757106323408683,0.00156686294571377,0.000316795616014996,0,0.0886379722802432,0.0797476353582171,0.118791444087186,0.11423527133963,0.0668114463035325,0.0207546991625759,0.0149132350346045,0.0072806793602202,0.00162468827233315,0.000864805364648302
"6",2004,7,2,3,0,0,1.5,119.5,361,0,0.061579515358584,0.0752616164532768,0.120915575420259,0.061905905438039,0.0682294525131556,0.0504407821341624,0.0139962741351908,0.0070950512818512,0.00444901451553125,0.00242858765126975,0,0.080703714677071,0.0892848394635685,0.153259434231177,0.0656318622823631,0.0651875229912099,0.0438922552333284,0.0220477866139415,0.0113341461492817,0.00209886813953471,0.000257795317204366
"7",2005,7,2,3,0,0,1.5,119.5,360,0,0.0876029707402649,0.11444776721892,0.0984186016222389,0.0619078280919603,0.030506614931386,0.0440832714446887,0.0276620043206624,0.0155093003355903,0.00291530437439112,0.00378775289646258,0,0.0880017645818422,0.126264827728746,0.109950208858918,0.0649220197044958,0.0346009301166204,0.0398459958443573,0.0297138773446049,0.00924800044326994,0.00664316903064838,0.00396779036993176
"8",2006,7,2,3,0,0,1.5,119.5,354,0,0.159764587899211,0.0661637923552624,0.0826787426356232,0.0597200768512354,0.0474234274568345,0.0314616950892683,0.0262760836969004,0.0179686021490551,0.00592141829275788,0.0018636540969777,0,0.157001336372176,0.0765824092496847,0.0871709528368625,0.0619042605867752,0.0482621085830078,0.0319217720004876,0.0211464973926117,0.0109842412235639,0.00371989632895875,0.00206444490274579
"9",2007,7,2,3,0,0,1.5,119.5,368,0,0.331147933060915,0.0445505740233005,0.0317989002048303,0.0240148433668738,0.0223094989350972,0.0102989822047534,0.00809366652382962,0.0039142154215433,0.00242644611781069,0.00199474353398642,0,0.360320059626069,0.0525029995640164,0.0375070132660129,0.0211899233318383,0.0239328051436032,0.00829100795606141,0.00714878905038413,0.00418078434310239,0.00290879534396754,0.00146801898200522
"10",2008,7,2,3,0,0,1.5,119.5,338,0,0.100920143278882,0.217089941761299,0.0713441184322746,0.0430902963413041,0.0248427882122334,0.0145064485751032,0.00737892162905594,0.00413717870229095,0.00199359723810205,0.00296726081155325,0,0.104611624117096,0.22903420607008,0.0761828227928102,0.0451040147982924,0.0259948095440726,0.0161016797177723,0.00315972429201204,0.00564011684700383,0.0036956627127266,0.00220464412603482
